Korisnik: ana
RelativnoVreme_ms,IR_Signal
0,25400
105,28706
105,22827
110,21288
202,22722
306,25542
306,31127
306,35041
307,40024
307,45367
312,51973
313,64743
313,83321
313,107031
408,123585
512,127087
512,125091
512,125861
512,133849
513,148930
716,170830
716,204629
716,208321
717,215283
717,219537
717,225762
717,233016
718,238764
718,242285
718,244261
818,245575
818,246364
818,247281
819,248051
819,248906
826,249673
826,250485
827,251300
827,252143
1022,252784
1022,253300
1023,253631
1023,253790
1023,253773
1023,253639
1024,253455
1127,253271
1127,253048
1127,252809
1128,252542
1128,252346
1434,252260
1435,252195
1435,252239
1435,252296
1435,252381
1436,252416
1436,252336
1436,252041
1436,251501
1436,251009
1436,250840
1437,250953
1437,251163
1437,251412
1437,251520
1437,251551
1535,251573
1536,251620
1536,251659
1536,251703
1638,251705
1638,251674
1639,251599
1639,251522
1639,251526
1646,251523
1646,251621
1646,251704
1647,251827
1654,251932
1740,252007
2048,252071
2048,252080
2048,252092
2048,252115
2048,252132
2049,252144
2049,252120
2049,252110
2049,252105
2049,252079
2049,252043
2050,252069
2050,252106
2050,252125
2050,252153
2055,252046
2056,251592
2056,250919
2056,250407
2148,250228
2357,250279
2357,250463
2357,250859
2358,251019
2559,251043
2559,251053
2559,251107
2559,251176
2559,251109
2559,251007
2560,250923
2560,250892
2560,250940
2560,250973
2560,251061
2560,251113
2560,251166
2663,251188
2664,251186
2664,251230
2664,251227
2867,251219
2867,251222
2867,251213
2867,251193
2868,251255
2868,251247
2868,251192
2868,250439
2968,249650
2968,249447
2969,249718
2969,250027
3173,250316
3173,250434
3173,250496
3173,250528
3173,250636
3173,250640
3174,250525
3174,250422
3275,250394
3276,250446
3276,250548
3276,250615
3276,250770
3378,250837
3378,250883
3378,250912
3687,250907
3687,250940
3688,250907
3688,250957
3688,250917
3688,250925
3689,250925
3689,250939
3689,250993
3689,251007
3689,250440
3689,249772
3689,249191
3690,249192
3787,249513
3787,249778
3787,249969
3861,250025
3861,250084
3861,250180
3862,250294
3890,250263
3890,250160
3891,250086
3994,250124
4299,250216
4299,250380
4300,250463
4300,250573
4300,250631
4300,250668
4300,250746
4300,250788
4301,250754
4504,250740
4504,250762
4505,250805
4505,250822
4505,250822
4505,250904
4505,250968
4505,250924
4506,250345
4506,249629
4506,249061
4506,249124
4506,249514
4608,249762
4608,250052
4608,250145
4710,250191
