Korisnik: anana
RelativnoVreme_ms,IR_Signal
0,254844
0,254810
0,254819
1,254869
1,254884
1,254881
1,254746
309,254351
309,254045
309,254034
309,254117
310,254309
310,254395
310,254458
310,254515
310,254448
310,254527
310,254597
310,254616
479,254557
479,254592
479,254564
480,254601
480,254641
480,254672
480,254732
480,254745
480,254813
617,254798
617,254841
617,254882
617,254836
623,254917
623,254923
623,255009
623,254948
629,254811
716,254421
921,254266
921,254199
921,254257
921,254383
921,254412
921,254471
1126,254445
1126,254488
1126,254459
1126,254508
1126,254484
1126,254486
1126,254435
1126,254457
1127,254406
1331,254462
1331,254532
1331,254528
1331,254610
1331,254569
1331,254580
1331,254589
1332,254594
1453,254636
1454,254646
1454,254591
1454,254427
1454,254022
1454,253921
1454,253911
1454,254018
1460,254169
1471,254235
1640,254255
1648,254192
1648,254199
1649,254271
1649,254263
1649,254277
1649,254228
1945,254229
1945,254219
1945,254202
1945,254287
1945,254339
1946,254364
1946,254359
1946,254381
2149,254381
2149,254404
2150,254414
2150,254384
2150,254482
2150,254334
2150,254162
2150,253689
2163,253590
2163,253622
2163,253755
2163,253903
2457,253953
2458,253932
2458,253936
2458,253934
2458,254014
2458,254030
2458,254055
2458,254001
2459,253944
2665,253965
2665,254047
2665,254090
2665,254097
2665,254145
2665,254243
2665,254271
2665,254213
2867,254282
2868,254283
2868,254381
2868,254337
2868,254363
2868,254305
2868,253965
2868,253661
3071,253511
3072,253598
3072,253650
3072,253811
3072,253921
3072,253920
3073,253959
3073,253916
3277,253985
3277,254044
3277,254049
3277,254025
3278,253943
3278,253954
3278,254028
3278,254059
3278,254107
3585,254149
3585,254200
3585,254211
3586,254250
3586,254245
3586,254261
3586,254302
3586,254288
3587,254353
3587,254352
3587,254369
3587,254276
3593,253944
3593,253529
3593,253520
3594,253670
3594,253758
3685,253891
3695,253925
3696,253914
3696,253936
3789,253982
3790,254000
3790,254011
3790,253976
3890,253958
3898,253965
3899,253986
3899,254027
3993,254110
4001,254162
4001,254154
4002,254203
4015,254261
4095,254280
4403,254274
4403,254290
4403,254280
4403,254300
4404,254293
4404,254347
4602,254297
4602,254109
4603,253648
4603,253525
4603,253558
4603,253656
4603,253817
4603,253891
4603,253916
4603,253981
4603,254010
4603,254027
4604,254015
4609,254052
4609,253965
4609,253976
4609,253968
4711,254011
4722,254045
4723,254063
4725,254135
4729,254172
4814,254201
4823,254198
4825,254200
4827,254228
4916,254253
4925,254296
4926,254272
4928,254298
5018,254361
5027,254272
5028,254037
5029,253715
5121,253455
5128,253508
5129,253656
5130,253778
5223,253921
5428,253943
5429,253924
5430,253919
5431,253994
5432,253980
5432,254013
5433,253945
5633,253938
5635,253984
5636,253995
5637,254063
5638,254084
5640,254128
5641,254226
5642,254250
5643,254221
5644,254254
5645,254290
5645,254304
5646,254295
5736,254321
5745,254337
5747,254342
5748,254137
5838,253852
5846,253521
5847,253510
5849,253628
5942,253808
5944,253910
5945,254003
5946,254023
6043,254002
6054,254040
6055,254091
6056,254034
6057,254049
6249,254012
6257,253989
6258,254010
6259,254051
6260,254125
6261,254162
6263,254197
6264,254224
6351,254269
6358,254277
6359,254319
6360,254335
6451,254352
6660,254333
6661,254363
6662,254409
6664,254293
6665,254032
6666,253566
6667,253475
6668,253564
6669,253701
6670,253893
6671,253960
6672,253983
6761,253997
7066,253993
7067,254005
7068,254027
7070,253988
7071,253932
7072,253952
7073,253977
7074,254020
7075,254051
7076,254155
7076,254127
7077,254156
7078,254231
7079,254228
7080,254219
7093,254263
7142,254270
7146,254276
7272,254286
7282,254311
7283,254318
7284,254194
7285,253775
7384,253480
7385,253427
7386,253465
7387,253668
7389,253778
7476,253947
7587,253948
7588,253974
7589,253989
7590,253974
7592,254042
7593,253982
7594,253942
7681,253926
7691,253935
7692,253964
7693,254027
7786,254088
7787,254155
7789,254184
7792,254204
7885,254215
7896,254247
7897,254309
7899,254297
7988,254317
7998,254330
8000,254307
8001,254351
8006,254156
8091,253824
8308,253444
8310,253359
8311,253539
8312,253681
8313,253840
8315,253914
8316,253943
8317,253950
8318,254000
8319,253989
8321,253990
8326,253959
8398,253900
8408,253930
8705,253965
8706,254047
8706,254093
8707,254103
8708,254136
8709,254164
8709,254202
8710,254186
8711,254199
8816,254225
8817,254208
8819,254242
8820,254280
8821,254260
8822,254137
8824,253857
8825,253478
8826,253375
8910,253509
9116,253677
9118,253821
9119,253857
9120,253922
9121,253933
9122,253954
9124,253981
9125,253954
9126,253936
9127,253869
9128,253864
9217,253894
9227,253955
