Korisnik: dd
RelativnoVreme_ms,IR_Signal
0,21100
307,26283
512,40649
512,38880
512,36935
512,38892
513,51990
513,74178
513,106976
513,139957
514,172517
514,204459
819,238262
820,252965
820,253210
820,253863
820,254905
820,256203
821,257794
821,259975
821,261470
821,262143
821,262143
821,262143
821,262143
822,262143
822,262143
1024,262035
1025,260939
1025,260286
1025,259682
1025,259329
1025,259220
1026,259278
1026,259356
1026,259364
1026,259194
1027,258984
1050,258888
1051,258824
1051,258561
1051,258093
1051,257709
1063,257469
1064,257299
1331,257332
1331,257445
1331,257807
1332,258453
1332,259401
1332,260535
1332,261673
1332,262143
1342,262143
1343,262143
1343,262143
1343,262143
1343,262143
1343,262143
1443,262143
1444,262143
1444,262143
1444,262143
1444,262143
1843,262143
1843,262143
1843,262143
1844,262143
1844,262143
1844,262143
1844,262143
1844,262143
1844,262143
1844,262143
1845,262143
1845,262143
1845,262143
1845,262143
1845,262143
2046,262143
2046,262143
2047,262143
2047,262143
2047,262143
2047,262143
2047,262143
2048,262143
2048,262143
2048,262143
2252,262143
2252,262143
2252,262143
2252,262143
2253,262143
2253,262143
2457,262116
2458,262076
2458,261972
2458,262100
2458,262065
2459,262115
2459,262074
2459,262103
2459,262143
2459,262143
2459,262136
2460,262069
2460,261955
2464,261715
2464,261532
2464,261263
2464,261160
2661,260991
2867,260826
2867,260560
2867,260278
2868,259949
2868,259764
2868,259549
2868,259447
2868,259312
2868,259230
2868,259185
2869,259186
2874,259145
2874,259126
2875,259169
2875,259192
2875,259210
2979,259194
2980,259215
2980,259295
2980,259368
3070,259516
3081,259689
3081,259675
3081,259802
3095,259862
3173,259846
3379,259885
3380,259854
3380,259797
3380,259713
3380,259676
3380,259702
3380,259735
3603,259707
3604,259680
3604,259705
3604,259716
3604,259659
3604,259634
3605,259584
3789,259572
3789,259543
3790,259509
3790,259505
3790,259500
4096,259420
4096,259328
4096,259320
4097,259293
4097,259319
4097,259289
4097,259294
4097,259316
4097,259261
4098,259308
4098,259292
4098,259333
4098,259322
4098,259330
4098,259384
4098,259399
4205,259376
4206,259335
4206,259336
4206,259312
4207,259325
4207,259324
4207,259258
4207,259245
4406,259250
4406,259247
4406,259241
4415,259234
4415,259178
4415,259162
4415,259138
4415,259163
4513,259189
4513,259199
4513,259194
4514,259221
4615,259263
4615,259254
4615,259260
4616,259262
4713,259304
4716,259330
4720,259314
4722,259299
4729,259292
4815,259307
5327,259298
5330,259257
5332,259270
5335,259348
5337,259421
5340,259357
5342,259354
5345,259350
5347,259403
5350,259324
5352,259274
5355,259270
5358,259238
5360,259236
5363,259264
5633,259278
5636,259222
5639,259246
5642,259258
5644,259262
5647,259208
5649,259246
5652,259254
5654,259231
5657,259232
5660,259208
5663,259201
5666,259217
5668,259195
5671,259187
5674,259219
6043,259149
6046,259119
6048,259158
6051,259136
6054,259129
6057,259066
6060,259001
6062,258885
6065,258851
6068,258557
6070,258480
6073,258446
6075,258495
6077,258562
6080,258553
6082,258625
6454,258717
6457,258756
6459,258871
6462,258818
6465,258770
6468,258673
6471,258659
6473,258635
6476,258630
6478,258693
6480,258710
6482,258753
6485,258819
6488,259021
6490,259007
6492,258949
6494,258963
6496,259092
6499,259107
6502,259285
6504,259380
6558,259383
6561,259359
6564,259382
6567,259396
6760,259447
7271,259424
7273,259312
7275,259177
7279,259317
7282,259451
7285,259440
7288,259462
7290,259507
7292,259554
7294,259614
7296,259603
7299,259563
7301,259482
7304,259474
7306,259401
7309,259080
7312,258950
7315,259093
7317,259066
7319,259103
7321,258982
7324,258697
7326,258659
7579,258557
7581,258567
7584,258696
7586,258715
7589,258827
7592,259036
7595,259297
7598,259341
7989,259315
7992,259336
7995,259407
7997,259409
8000,259393
8003,259502
8006,259467
8008,259532
8011,259711
8013,259739
8016,259777
8019,259795
8021,259820
8024,259786
8026,259771
8028,259708
8031,259655
8033,259650
8035,259613
8037,259607
8040,259666
8297,259695
8299,259881
8301,259911
8304,259963
8308,259993
8311,259997
8313,259980
8315,260021
