Korisnik: dor
RelativnoVreme_ms,IR_Signal
0,256993
0,256953
1,256907
31,256823
51,256766
81,256755
117,256743
132,256726
221,256772
436,256511
437,256279
437,256044
437,256075
437,256141
437,256209
438,256215
438,256314
438,256452
438,256433
440,256607
453,256720
528,256735
540,256738
541,256797
554,256795
631,256831
938,256878
938,256981
938,257071
939,257173
939,257270
939,257354
940,257360
940,257391
940,257336
940,257327
1142,257098
1143,256315
1143,256091
1143,255834
1143,255676
1143,255275
1143,255066
1143,255056
1451,255188
1451,255251
1451,255283
1451,255427
1451,255522
1453,255685
1455,255937
1456,256394
1457,256546
1459,256567
1461,256537
1462,256469
1564,256498
1565,256541
1566,256573
1568,256615
1569,256681
1570,256723
1573,256734
1574,256736
1575,256713
1861,256637
1863,256573
1864,256602
1865,256569
1867,256542
1868,256558
1869,256569
1870,256420
1886,256103
1887,255957
1889,255961
1890,255955
1895,255946
1907,255892
2112,255918
2113,255882
2114,255835
2114,255807
2115,255775
2116,255724
2117,255534
2118,255432
2153,255277
2168,255297
2188,255319
2477,255407
2479,255510
2480,255651
2481,255781
2482,255801
2484,255819
2485,255847
2683,255903
2684,255912
2685,255949
2687,255954
2688,256050
2689,256107
2691,255938
2692,255823
2886,255775
2887,255855
2888,255952
2889,256050
2891,256191
2892,256206
2893,256303
2894,256351
3090,256576
3092,256642
3093,256677
3094,256641
3096,256642
3097,256668
3098,256687
3100,256760
3101,256856
3102,256860
3103,256975
3104,257074
3105,257142
3109,257143
3193,257141
3204,257176
3205,257322
3210,257282
3295,257338
3500,257377
3502,257265
3503,257028
3504,256883
3506,256910
3507,257062
3525,257139
3526,257234
3528,257260
3529,257310
3583,257341
3585,257450
3586,257511
3603,257479
3611,257500
3706,257447
3708,257423
3710,257420
3714,257408
3808,257522
3970,257530
3972,257563
3973,257572
3974,257622
3976,257629
3977,257635
3978,257613
3980,257603
3981,257584
3991,257560
4013,257551
4125,257495
4126,257321
4128,256962
4129,256865
4215,256844
4224,256852
4226,256749
4227,256756
4320,256691
4322,256609
4323,256570
4325,256606
4421,256541
4431,256448
4432,256265
4434,256170
4524,256043
4729,255980
4730,255926
4732,255882
4733,255826
4734,255774
4735,255817
4737,255867
4753,255872
4754,255869
4755,255979
4757,255953
4778,255966
4787,256097
4798,255965
4830,255776
4845,255647
4933,255726
5061,255984
5063,256027
5064,256188
5065,256255
5067,256370
5068,256453
5069,256581
5070,256748
5139,256810
5141,256767
5149,256790
5240,256814
5548,256848
5549,256903
5551,256967
5552,257000
5553,257048
5554,257091
5556,257209
5557,257273
5558,257351
5559,257397
5653,257356
5655,257461
5656,257532
5657,257477
5658,257229
5658,257053
5659,257112
5660,257177
5661,257248
5681,257334
5694,257433
5752,257454
5759,257343
5766,257402
5855,257552
5880,257491
5882,257460
5891,257444
5912,257477
5925,257461
5957,257473
5991,257521
6012,257491
6022,257518
6058,257457
6084,257478
6096,257480
6157,257390
6276,257312
6277,257218
6278,257122
6280,257072
6281,256877
6282,256594
6339,256262
6343,256170
6348,256105
6367,256108
6470,255950
6696,255959
6697,255875
6698,255823
6700,255759
6701,255711
6702,255596
6704,255515
6705,255332
6706,255241
6707,255080
6708,255018
7083,254952
7084,254920
7086,254857
7088,254871
7089,254905
7090,254894
7092,254942
7093,254971
7095,254997
7096,255118
7097,255219
7098,255143
7391,254899
7392,254922
7394,255067
7395,255224
7396,255328
7398,255433
7399,255616
7401,255662
7402,255833
7403,255899
7404,256063
7405,256083
7415,256099
7416,256134
7417,256166
7418,256178
7427,256268
7428,256288
7698,256380
7699,256406
7701,256482
7702,256560
7703,256651
7705,256718
7903,256781
7905,256796
7906,256846
7907,256843
7909,256707
7910,256512
7911,256388
7913,256508
7914,256642
8313,256697
8315,256743
8316,256809
8318,256841
8319,256829
8320,257031
8321,257061
8323,257070
8324,257025
8325,257001
8326,257027
8327,256986
8328,257014
8329,257045
8330,257045
8331,257030
8338,257033
8339,257061
8339,257067
8340,257065
8341,257048
8351,256952
8415,256816
8424,256798
8722,256736
8724,256422
8725,256177
8726,255981
8728,256024
8729,255985
8731,255968
8733,255877
8734,255841
8746,255736
8747,255656
8748,255618
8748,255591
8754,255463
8814,255398
8837,255196
8838,255199
8852,255122
8872,255057
8902,254999
8922,254917
8953,254891
8972,254901
9028,254840
9037,254859
9130,254892
9134,254895
9135,254878
9136,254908
9234,254954
9339,254757
9341,254553
9342,254551
9344,254825
9345,254884
9346,254976
9348,255116
9353,255113
9438,255233
9451,255314
9452,255460
9457,255541
9474,255549
9541,255564
9552,255580
9556,255613
9848,255682
9850,255820
9851,255908
9852,256033
9853,256132
9854,256266
9856,256350
9857,256480
9858,256521
9859,256602
9860,256580
9861,256581
9874,256546
9950,256408
9954,256233
9955,256147
9990,256224
10003,256364
10053,256423
10057,256430
10151,256486
10257,256348
10259,256324
10260,256385
10463,256447
10465,256374
10466,256337
10468,256294
10469,256196
10471,256071
10472,255967
10473,255736
10475,255616
10476,255409
10477,255140
10478,254699
10479,254419
10565,254153
10770,254117
10771,254014
10773,254068
10775,254267
10776,254513
10777,254554
11077,254458
11078,254416
11080,254544
11081,254742
11083,254843
11084,254820
11085,254941
11087,255133
11282,255381
11283,255777
11285,256073
11286,256363
11287,256320
11289,256168
11290,255975
11291,255497
11293,254921
11294,254132
11295,253916
11296,254114
11297,254160
11589,254432
11591,254428
11592,254463
11593,254632
11595,254950
11596,255103
11597,255404
11599,255705
11600,255931
11601,256064
11602,256216
11603,256267
11793,256269
11795,256202
11796,256087
11798,256025
11799,256016
11800,256083
11801,256404
11802,256513
12071,256472
12072,256342
12075,256246
12076,256190
12077,256263
12079,256214
12080,256229
12081,256252
12083,256200
12084,256196
12085,256274
12086,256354
12511,256399
12513,256357
12514,256385
12515,256357
12517,256063
12518,255827
12519,255688
12520,255788
12522,255969
12523,256181
12524,256255
12525,256143
12526,255929
12527,255843
12528,255791
12529,255859
12529,255899
12920,255829
12922,255681
12923,255685
12924,255543
12925,255528
12927,255490
12928,255594
12929,255804
12931,255872
13125,255851
13127,255828
13128,255850
13129,255956
13131,255965
13132,256058
13133,256078
13134,255944
13136,255767
13137,255832
13138,256128
13139,256247
13139,256389
13140,256435
13141,256344
13142,256235
13143,256153
