Korisnik: doroteja
RelativnoVreme_ms,IR_Signal
0,252259
0,252310
0,252344
0,252369
1,252514
1,252590
1,252695
1,252700
1,252808
1,252857
1,252920
2,252994
143,253074
143,253083
143,253139
143,253242
144,253316
144,253331
144,253341
144,253246
144,252778
154,252418
208,252242
214,252339
225,252484
307,252539
312,252553
312,252524
421,252663
422,252717
422,252795
422,252788
428,252753
511,252770
613,252849
614,252974
614,253103
680,253160
680,253199
680,253274
681,253308
730,253347
730,253279
739,253249
740,253329
841,253354
842,253312
842,253366
842,253474
944,253426
944,253288
944,253208
944,252639
955,252430
1044,252388
1045,252505
1045,252597
1228,252611
1228,252559
1228,252632
1229,252801
1229,252799
1331,252813
1331,252801
1332,252714
1332,252777
1337,252855
1337,252937
1337,253101
1535,253104
1536,253182
1536,253140
1536,253195
1536,253250
1541,253260
1541,253275
1541,253305
1638,253297
1739,253428
1740,253388
1740,253433
1740,253463
1842,253350
1842,253104
1843,252602
1843,252441
1948,252404
1948,252528
1948,252611
1948,252623
1958,252593
1958,252552
1959,252630
1959,252742
1980,252772
2047,252762
2254,252779
2254,252798
2254,252892
2254,253036
2255,253161
2255,253204
2264,253268
2264,253379
2265,253447
2265,253495
2355,253515
2480,253577
2481,253625
2481,253630
2481,253648
2481,253756
2482,253815
2482,253843
2486,253834
2559,253607
2763,253188
2763,252925
2867,252841
2867,252968
2867,253132
2867,253203
2868,253226
2868,253260
2868,253321
2868,253393
2868,253480
2872,253457
2873,253474
2873,253534
2885,253592
2969,253653
2974,253754
2974,253767
3053,253789
3058,253771
3058,253811
3058,253834
3082,253788
3102,253819
3180,253801
3180,253879
3277,253909
3378,253917
3378,253875
3378,253767
3379,253319
3383,253069
3383,252844
3383,252884
3403,253055
3412,253092
3487,253028
3487,253084
3487,253189
3589,253177
3589,253234
3590,253290
3590,253226
3685,253268
3691,253297
3691,253370
3691,253481
3788,253556
3992,253599
3993,253629
3993,253632
3993,253599
3993,253720
3993,253696
3994,253725
3994,253726
4001,253730
4001,253782
4001,253727
4119,253487
4119,253064
4119,252846
4120,252832
4120,252859
4198,252952
4325,252900
4326,252887
4326,252960
4326,253044
4326,253017
4326,253136
4326,253094
4351,252971
4377,253018
4393,253046
4409,253045
4505,253021
4510,253060
4510,253250
4511,253307
4607,253333
4612,253444
4612,253486
4615,253544
4652,253549
4726,253550
4738,253554
4740,253589
4744,253440
4758,253164
4813,252709
4834,252662
4860,252606
4869,252626
4916,252635
4921,252602
5019,252596
5121,252694
5123,252944
5125,253090
5126,253088
5140,253077
5142,253069
5143,253116
5158,253218
5179,253188
5223,253225
5229,253282
5333,253225
5335,253236
5338,253318
5340,253409
5531,253370
5533,253323
5535,253370
5536,253332
5538,252939
5633,252858
5635,252547
5637,252591
5640,252625
5654,252636
5656,252647
5657,252690
5663,252746
5665,252776
5736,252784
5859,252874
5862,252865
5864,252869
5867,252880
5868,252945
5870,253026
5872,253102
5940,253179
5948,253240
5950,253220
5961,253221
6043,253215
6165,253247
6167,253248
6168,253266
6170,252941
6171,252761
6172,252366
6173,252288
6257,252374
6259,252366
6261,252410
6281,252376
6293,252350
6350,252437
6372,252572
6381,252611
6392,252561
6452,252573
6457,252592
6478,252564
6554,252676
6562,252704
6563,252850
6573,252919
6634,252897
6656,252892
6796,252933
6799,252966
6801,252993
6804,253037
6806,252934
6861,252670
6863,252208
6869,252015
6871,252115
6884,252117
6964,252165
6986,252120
6988,252087
6998,252146
7067,252241
7190,252269
7191,252278
7193,252238
7194,252229
7195,252250
7197,252331
7198,252470
7271,252480
7277,252559
7279,252628
7288,252684
7374,252736
7378,252796
7381,252791
7477,252847
7481,252922
7484,252896
7486,252883
7488,252674
7578,252274
7783,251980
7785,251889
7787,251957
7788,251992
7790,252020
7792,252030
7794,251985
7795,252064
8012,252178
8014,252220
8015,252230
8017,252264
8018,252267
8019,252255
8020,252411
8022,252442
8026,252563
8028,252678
8031,252708
8035,252791
8038,252871
8091,252946
8102,253005
8103,253088
8198,253100
8200,253075
8202,253097
8204,252957
8296,252493
8421,252135
8423,252063
8425,252015
8427,252149
8428,252147
8430,252169
8432,252233
8433,252483
8505,252589
8507,252574
8509,252544
8630,252574
8633,252634
8634,252735
8636,252789
8642,252928
8644,253001
8683,253125
8703,253099
8812,253112
8814,253104
8816,253228
8818,253273
8820,253320
8910,253336
9012,253257
9014,253070
9016,252542
9019,252347
