Korisnik: katarina
RelativnoVreme_ms,IR_Signal
0,251009
0,250965
0,250973
0,251025
1,251044
1,251030
1,251056
1,251088
1,251069
1,251029
1,251022
1,250956
1,250966
2,250996
2,250982
2,250913
2,250770
2,250459
2,250345
2,250341
2,250474
3,250625
3,250651
3,250671
3,250714
3,250704
3,250734
3,250692
3,250640
11,250662
11,250658
11,250673
102,250698
307,250725
307,250773
307,250775
307,250794
308,250767
308,250770
308,250784
308,250772
410,250807
410,250797
410,250838
410,250884
1015,250718
1015,250486
1015,250255
1015,250220
1015,250329
1015,250425
1016,250536
1016,250549
1016,250526
1016,250565
1016,250599
1016,250593
1016,250598
1016,250496
1016,250504
1017,250525
1017,250548
1017,250601
1017,250666
1017,250658
1017,250655
1017,250663
1017,250693
1017,250671
1017,250673
1018,250711
1125,250714
1125,250720
1433,250713
1433,250603
1434,250270
1434,250134
1434,250133
1434,250272
1434,250440
1435,250476
1435,250512
1435,250535
1435,250517
1435,250554
1435,250527
1435,250489
1535,250454
1536,250450
1536,250512
1536,250529
1740,250587
1740,250667
1740,250721
1741,250709
1741,250765
1741,250790
1741,250857
1741,250979
1742,251127
1742,251195
1843,251196
1844,251157
1998,251039
1999,250969
1999,250808
1999,250681
1999,250579
1999,250612
2000,250623
2000,250541
2000,250318
2010,250328
2028,250503
2048,250654
2118,250718
2143,250650
2143,250514
2175,250482
2183,250512
2197,250515
2228,250564
2252,250617
2303,250607
2457,250617
2457,250566
2458,250553
2458,250548
2458,250514
2867,250502
2867,250546
2867,250649
2868,250591
2868,250278
2868,250066
2868,250030
2868,250097
2869,250274
2869,250311
2869,250354
2869,250381
2869,250456
2869,250489
2869,250518
2869,250499
3380,250393
3381,250316
3381,250263
3381,250259
3381,250313
3381,250385
3381,250416
3381,250444
3381,250415
3381,250426
3382,250424
3382,250449
3382,250492
3382,250542
3382,250484
3382,250485
3382,250429
3383,250176
3383,249920
3383,249863
3383,249944
3993,250017
3993,250163
3994,250180
3994,250147
3994,250165
3994,250199
3994,250202
3995,250171
3995,250148
3995,250131
3995,250163
3995,250130
3995,250116
3995,250073
3995,250169
3995,250220
3996,250234
3996,250229
3996,250229
3996,250276
3996,250284
3996,250315
4095,250311
4095,250315
4096,250359
4096,250354
4096,250301
4096,250079
4096,249880
4301,249754
4301,249767
4302,249867
4302,249962
4304,249985
4305,249974
4306,249889
4307,249888
4405,249909
4406,249904
4408,249867
4409,249837
4427,249862
4428,249907
4429,249938
4437,249978
4506,250047
4514,250109
4515,250120
4529,250159
4640,250212
4663,250211
4664,250233
4666,250256
4667,250221
4711,250203
4734,250178
4735,250229
4815,250218
5327,250221
5328,250220
5330,250097
5331,249893
5332,249777
5333,249756
5334,249863
5336,250025
5337,250060
5338,250067
5339,250088
5340,250075
5340,250108
5341,250165
5342,250076
5343,250067
5343,249983
5344,250033
5345,250088
5346,250167
5346,250185
5428,250212
5430,250209
5431,250282
5432,250309
5841,250327
5842,250251
5843,250226
5845,250200
5846,250186
5847,250159
5848,250155
5849,250205
5851,250058
5852,249888
5853,249728
5854,249712
5854,249775
5855,249886
5856,249982
5857,250022
5858,250027
5858,250038
5940,250057
5941,250090
6249,250086
6251,250081
6252,250051
6253,250071
6254,250122
6255,250174
6257,250142
6258,250165
6259,250200
6260,250256
6261,250245
6262,250216
6263,250211
6556,250300
6556,250269
6557,250291
6558,250261
6559,250299
6559,250361
6560,250340
6561,250217
6562,250090
6562,249996
6563,249944
6564,250000
6564,250100
6657,250152
6658,250146
6659,250152
6660,250121
6662,250142
6663,250203
6672,250165
6862,250139
6863,250121
6864,250173
6866,250201
6867,250201
6868,250199
6869,250206
6874,250214
6949,250225
7025,250245
7026,250245
7028,250267
7029,250277
7066,250231
7271,250249
7273,250272
7274,250237
7275,250211
7277,250257
7278,250236
7279,250165
7280,250009
8091,250008
8092,250091
8094,250225
8095,250251
8096,250232
8097,250237
8098,250262
8100,250288
8101,250261
8102,250197
8103,250248
8104,250227
8105,250201
8106,250226
8107,250243
8108,250285
8108,250295
8109,250285
8110,250279
8111,250283
8111,250367
8112,250309
8113,250316
8114,250390
8114,250441
8115,250382
8116,250309
8117,250178
8117,250034
8118,250008
8119,250018
8120,250068
8120,250169
8193,250191
8195,250167
8196,250196
8197,250241
8501,250240
8502,250221
8503,250200
8504,250229
8506,250174
8507,250219
8508,250232
8509,250253
8510,250282
8512,250273
8514,250339
8515,250357
8603,250370
8604,250361
8606,250416
8607,250441
8608,250430
8807,250444
8808,250391
8809,250229
8811,250069
8812,250061
8813,250053
8814,250126
8815,250164
8910,250180
8912,250161
8913,250166
9111,250191
9112,250201
9113,250195
9115,250158
9116,250120
9423,250195
9424,250178
9448,250216
9450,250219
9451,250214
9452,250330
9453,250360
9454,250346
9456,250299
9457,250323
9458,250355
9459,250365
9460,250351
9461,250372
9462,250310
9463,250160
9464,250017
9831,249955
9833,250082
9834,250216
9835,250229
9836,250197
9837,250270
9838,250354
9840,250355
9841,250289
9842,250291
9843,250292
9844,250354
9845,250366
9846,250354
9847,250360
9848,250346
9934,250410
9935,250446
9937,250446
9938,250421
9939,250456
9940,250452
9941,250465
9947,250486
10036,250480
10139,250509
10141,250520
10142,250383
10143,250136
10144,250050
10145,250083
10241,250146
10345,250213
10346,250242
10347,250264
10348,250275
10350,250278
10547,250283
10549,250255
10550,250274
10551,250313
10552,250293
10554,250311
10556,250322
10557,250265
10558,250253
10855,250322
10856,250337
10857,250353
10858,250337
10859,250360
10861,250353
10862,250379
10863,250413
10864,250412
10866,250314
10867,250143
10868,250034
11060,250006
11061,250046
11062,250179
11064,250267
11065,250286
11067,250329
11068,250299
11069,250339
