Korisnik: sm
RelativnoVreme_ms,IR_Signal
0,256651
0,256614
0,256612
0,256545
0,256539
1,256526
1,256552
1,256610
1,256671
1,256753
2,256768
2,256765
2,256850
305,256885
305,256917
305,257004
305,257036
305,256964
305,256899
305,256496
306,256285
306,256249
306,256339
306,256446
306,256593
408,256640
409,256708
409,256683
409,256664
409,256814
409,256804
410,256828
410,256764
417,256708
508,256736
513,256747
513,256822
520,256877
580,256958
714,257046
918,257074
918,257012
919,257068
919,257135
919,257134
919,257134
919,257118
919,257120
919,257114
919,256847
922,256545
923,256317
923,256350
923,256401
929,256587
1020,256754
1024,256865
1024,256899
1031,256855
1124,256925
1133,257005
1133,257017
1134,256973
1226,256934
1431,256863
1432,256856
1432,256886
1432,256941
1432,257008
1432,257004
1432,257012
1441,257074
1441,257128
1441,257151
1442,257204
1534,257163
1543,257218
1543,257250
1543,257216
1548,257217
1841,257291
1842,257200
1842,256900
1842,256499
1842,256419
1842,256535
1842,256651
1851,256785
1852,256832
1852,256884
1852,256885
1852,256967
1943,257032
2056,257007
2056,257110
2056,256946
2057,256927
2057,256990
2057,256914
2057,256991
2149,257098
2150,257171
2150,257184
2150,257197
2175,257264
2365,257265
2460,257362
2460,257347
2460,257322
2461,257325
2461,257357
2461,257400
2461,257404
2461,257366
2461,257277
2461,256893
2465,256695
2557,256644
2673,256722
2673,256900
2674,256980
2674,257070
2674,257125
2674,257193
2674,257327
2764,257416
2879,257408
2879,257401
2880,257359
2880,257336
2880,257357
2880,257387
2880,257446
2915,257542
2915,257581
2934,257609
2968,257664
3277,257745
3277,257734
3277,257727
3277,257764
3277,257744
3278,257744
3278,257751
3278,257768
3285,257809
3285,257795
3285,257459
3285,257153
3286,256943
3376,256960
3380,257117
3380,257225
3386,257341
3591,257452
3591,257419
3591,257490
3592,257445
3592,257546
3592,257531
3592,257498
3592,257469
3596,257400
3691,257405
3695,257442
3696,257512
3696,257522
3789,257623
3812,257637
3812,257705
3812,257741
3824,257777
3889,257801
4094,257828
4094,257801
4308,257842
4309,257802
4309,257891
4309,257909
4309,257777
4309,257457
4310,257104
4310,257035
4310,257044
4310,257203
4310,257317
4310,257405
4310,257482
4310,257488
4310,257549
4311,257648
4314,257630
4369,257675
4369,257629
4384,257532
4413,257484
4503,257580
4512,257633
4512,257691
4520,257726
4607,257754
4709,257814
4710,257867
4917,257942
4918,257921
4920,257909
4921,257890
4923,257883
4924,257918
4925,257952
4926,257943
4927,257764
5120,257462
5121,257160
5122,257117
5123,257121
5125,257203
5126,257263
5127,257313
5128,257309
5129,257278
5130,257258
5131,257311
5132,257266
5134,257212
5222,257141
5528,257110
5530,257114
5531,257172
5532,257362
5533,257531
5535,257723
5536,257751
5537,257785
5538,257739
5539,257692
5540,257612
5541,257491
5542,257530
5543,257496
5544,257455
5563,257335
5572,257056
5631,256726
5942,256706
5943,256875
5945,257001
5946,257181
5947,257264
5948,257332
5949,257374
5950,257506
5952,257596
6350,257714
6351,257721
6352,257655
6353,257525
6355,257452
6356,257329
6357,257248
6358,257188
6359,257152
6360,257184
6361,257340
6363,257459
6363,257488
6554,257437
6555,257255
6556,257148
6558,257064
6559,257067
6560,257025
6561,256784
6562,256625
6563,256664
6565,256794
6566,256862
6567,256947
6567,256949
6568,256920
6569,257049
6570,257203
6571,257290
6598,257328
6673,257239
6768,256589
6770,256417
6771,258080
6772,260673
6773,131072
6774,32768
