Korisnik: smilja
RelativnoVreme_ms,IR_Signal
0,21397
60,22494
60,24954
61,27124
61,28206
336,30627
336,33111
336,36800
336,40669
337,43663
337,46217
337,49032
337,53428
337,60059
337,63007
543,63386
543,66938
543,82571
544,107220
544,139788
544,172747
544,205461
544,237775
544,244085
544,247511
545,250423
741,252282
741,253420
742,254206
742,254680
742,255160
742,255577
742,255935
742,256129
742,256252
742,256288
1052,256270
1053,256220
1053,256273
1053,256414
1053,256598
1053,256755
1054,256896
1054,257025
1054,257120
1054,257325
1054,257579
1054,257806
1054,257908
1054,258007
1054,258051
1360,258119
1360,258165
1360,258142
1360,258014
1360,257777
1361,257481
1361,257352
1361,257386
1361,257558
1361,257812
1361,258028
1361,258189
1361,258325
1361,258413
1362,258504
1362,258617
1564,258674
1564,258710
1565,258755
1565,258775
1565,258802
1565,258817
1565,258797
1565,258716
1566,258654
1566,258642
1568,258652
1568,258683
1568,258724
1568,258663
1568,258651
1579,258622
1606,258618
1620,258556
1640,258503
1770,258363
1880,258281
1880,258268
1880,258206
1880,258033
1881,257832
1881,257613
1881,257454
1881,257496
1882,257617
1882,257727
1884,257869
1974,257942
2179,257982
2179,257998
2179,258070
2179,258023
2179,257951
2180,257825
2180,257788
2285,257728
2285,257724
2285,257720
2286,257709
2286,257730
2286,257711
2286,257695
2286,257619
2290,257597
2383,257554
2587,257497
2588,257444
2588,257403
2588,257199
2588,256818
2588,256710
2753,256748
2753,256881
2753,257008
2754,257110
2754,257153
2754,257062
2754,257280
2754,257272
2754,257074
2993,257067
2993,257013
2993,256984
2993,256981
2994,256953
2994,256953
2994,256943
2994,256932
3204,256902
3204,256911
3204,256912
3204,256868
3204,256867
3205,256790
3205,256763
3205,256751
3205,256670
3324,256319
3324,256127
3325,256076
3325,256164
3325,256193
3325,256413
3325,256466
3325,256536
3612,256512
3613,256512
3613,256485
3613,256510
3613,256434
3613,256417
3613,256425
3613,256422
3817,256417
3817,256459
3817,256494
3817,256472
3817,256485
3818,256501
3818,256509
3818,256539
3965,256564
3965,256488
3965,256486
3965,256407
3965,256458
3965,256389
3966,256289
3966,255925
3966,255721
4021,255710
4021,255906
4130,256004
4130,256083
4130,256133
4130,256150
4130,256174
4131,256178
4348,256104
4348,256008
4348,255960
4348,255963
4348,255976
4349,255979
4349,255978
4349,256004
4349,256013
4431,256030
4638,256042
4639,255983
4641,255967
4642,255975
4643,255966
4644,255953
4645,255895
4843,255872
4844,255762
4845,255429
4846,255240
4847,255202
4849,255305
4850,255461
4851,255466
5048,255542
5049,255583
5050,255649
5052,255671
5053,255617
5055,255522
5056,255472
5057,255437
5355,255434
5357,255445
5358,255519
5359,255551
5360,255569
5361,255597
5363,255567
5364,255539
